Country,TotalCount,Percentage
USA,11095,18.82774186
Germany,4947,8.394848037
India,4231,7.179826571
United Kingdom,3224,5.470990514
Ukraine,2672,4.534270054
France,2110,3.58058002
Canada,2104,3.570398276
Poland,1534,2.603132583
Netherlands,1449,2.458891208
Brazil,1375,2.333316364
Italy,1341,2.275619814
Australia,1260,2.138166268
Spain,1123,1.90568311
Sweden,1016,1.724108673
Russia,925,1.569685554
Switzerland,876,1.486534643
Austria,791,1.342293268
Czech Republic,714,1.211627552
Israel,604,1.024962243
Turkey,546,0.926538716
Belgium,526,0.892599569
Denmark,504,0.855266507
Portugal,470,0.797569957
Norway,450,0.76363081
Romania,439,0.744964279
Pakistan,415,0.704237303
Iran,411,0.697449473
China,406,0.688964686
Mexico,402,0.682176857
New Zealand,396,0.671995113
Hungary,396,0.671995113
Greece,389,0.660116411
Finland,386,0.655025539
South Africa,358,0.607510733
Indonesia,354,0.600722904
Argentina,345,0.585450288
Bangladesh,327,0.554905055
Bulgaria,319,0.541329396
Nigeria,305,0.517571993
Viet Nam,296,0.502299377
Japan,288,0.488723718
Ireland,270,0.458178486
Taiwan,268,0.454784571
Egypt,262,0.444602827
Slovakia,248,0.420845424
Serbia,245,0.415754552
Colombia,217,0.368239746
Philippines,196,0.332603642
Croatia,187,0.317331025
Lithuania,183,0.310543196
Kenya,180,0.305452324
Singapore,177,0.300361452
Sri Lanka,163,0.276604049
Malaysia,161,0.273210134
Thailand,147,0.249452731
Hong Kong,146,0.247755774
South Korea,203,0.344482343
Slovenia,142,0.240967944
Nepal,139,0.235877072
Chile,133,0.225695328
United Arab Emirates,130,0.220604456
Latvia,128,0.217210541
Estonia,110,0.186665309
Morocco,98,0.166301821
Belarus,97,0.164604863
Uruguay,94,0.159513991
Georgia,94,0.159513991
Kazakhstan,81,0.137453546
Algeria,77,0.130665716
Peru,75,0.127271802
Tunisia,71,0.120483972
Ghana,70,0.118787015
Venezuela,69,0.117090058
Cyprus,63,0.106908313
Uzbekistan,62,0.105211356
Bosnia And Herzegovina,62,0.105211356
Ethiopia,60,0.101817441
Armenia,58,0.098423527
Afghanistan,56,0.095029612
Saudi Arabia,56,0.095029612
Ecuador,54,0.091635697
Costa Rica,54,0.091635697
Albania,49,0.08315091
Dominican Republic,47,0.079756996
Lebanon,46,0.078060038
Iraq,44,0.074666124
Kyrgyzstan,44,0.074666124
Nomadic,43,0.072969166
Guatemala,41,0.069575252
Jordan,40,0.067878294
Luxembourg,40,0.067878294
Uganda,39,0.066181337
Paraguay,39,0.066181337
Republic Of Moldova,38,0.06448438
Republic Of North Macedonia,36,0.061090465
Bolivia,32,0.054302635
Cameroon,31,0.052605678
Iceland,31,0.052605678
